model,universe,target,strategy,breakeven_spread_mult,breakeven_borrow_mult,net_sharpe_base
lgbm,main_hk,gap,tercile_ls,0.5455386725659336,,-1.8127996506932829
lgbm,main_hk,intraday,tercile_ls,,,-2.335174858558528
lgbm,main_hk,cc,tercile_ls,,,-0.9639428560018306
lgbm,main_kr,gap,tercile_ls,0.8616337653007919,,-0.5103789022845955
lgbm,main_kr,intraday,tercile_ls,,,-1.6891516894750942
lgbm,main_kr,cc,tercile_ls,,,-1.8726013186825032
lgbm,index_hk,gap,index_threshold,inf,inf,1.5454818137751358
lgbm,index_hk,intraday,index_threshold,0.7620246751456747,,-0.08223474230368519
lgbm,index_hk,cc,index_threshold,1.9628625099943198,inf,0.24781082884362013
lgbm,index_kr,gap,index_threshold,inf,inf,2.692366379837023
lgbm,index_kr,intraday,index_threshold,1.6268841232454312,inf,0.19904889503822285
lgbm,index_kr,cc,index_threshold,inf,inf,0.9013183142769234
tcn,main_hk,gap,tercile_ls,,,-2.8343909882095657
tcn,main_hk,intraday,tercile_ls,,,-2.0432611200862616
tcn,main_hk,cc,tercile_ls,,,-2.0559443662007166
tcn,main_kr,gap,tercile_ls,0.5575720685367703,,-1.7503021254564164
tcn,main_kr,intraday,tercile_ls,,,-1.2649692985871275
tcn,main_kr,cc,tercile_ls,,,-1.5947467966394941
tcn,index_hk,gap,index_threshold,,,-0.07616104307711491
tcn,index_hk,intraday,index_threshold,inf,inf,0.07820067979839106
tcn,index_hk,cc,index_threshold,inf,inf,0.4973380196549758
tcn,index_kr,gap,index_threshold,,,-0.5954477353704957
tcn,index_kr,intraday,index_threshold,,,-0.34229165127927963
tcn,index_kr,cc,index_threshold,,,-0.7980065732738549
