model,universe,target,strategy,gate,spread_mult,borrow_mult,net_sharpe,ann_return,max_drawdown,spread_cost,borrow_cost
lgbm,index_kr,gap,index_threshold,gate_off,5.0,1.0,2.147299028149605,0.2703318282032729,-0.18146319288234442,1.522,0.004841269841269841
lgbm,index_kr,gap,index_threshold,gate_off,7.0,1.0,1.3428434539311054,0.16953182820327292,-0.27084917754353116,2.1308,0.004841269841269841
lgbm,index_kr,gap,index_threshold,gate_off,10.0,1.0,0.14392172519418614,0.018331828203272893,-0.7075740654309081,3.044,0.004841269841269841
lgbm,index_kr,gap,index_threshold,gate_off,14.0,1.0,-1.4102992690256453,-0.18326817179672705,-1.6594825906074093,4.2616,0.004841269841269841
lgbm,index_kr,gap,index_threshold,gate_on,5.0,1.0,1.1445183328209034,0.10029183546693964,-0.13624952309242336,1.028,0.0028174603174603175
lgbm,index_kr,gap,index_threshold,gate_on,7.0,1.0,0.36540450532994734,0.03220878684670311,-0.27402609970495984,1.4392,0.0028174603174603175
lgbm,index_kr,gap,index_threshold,gate_on,10.0,1.0,-0.7796642365245873,-0.06991578608365172,-0.6955548944625553,2.056,0.0028174603174603175
lgbm,index_kr,gap,index_threshold,gate_on,14.0,1.0,-2.2149646375915464,-0.20608188332412478,-1.3607600386148182,2.8784,0.0028174603174603175
lgbm,index_hk,gap,index_threshold,gate_off,5.0,1.0,0.9079576734193668,0.1062078689757289,-0.27887963846901836,1.3000000000000003,0.0047619047619047615
lgbm,index_hk,gap,index_threshold,gate_off,7.0,1.0,0.172670239413497,0.020280000123269883,-0.39813317791786124,1.82,0.0047619047619047615
lgbm,index_hk,gap,index_threshold,gate_off,10.0,1.0,-0.9143743993621344,-0.10861180315541862,-0.9150708955246079,2.6000000000000005,0.0047619047619047615
lgbm,index_hk,gap,index_threshold,gate_off,14.0,1.0,-2.304996125470042,-0.28046754086033665,-1.7526691710037454,3.64,0.0047619047619047615
lgbm,index_hk,gap,index_threshold,gate_on,5.0,1.0,0.257526406782692,0.022427389631425175,-0.3854986806333939,0.8520000000000001,0.0027777777777777775
lgbm,index_hk,gap,index_threshold,gate_on,7.0,1.0,-0.3873175046726758,-0.03388841364726335,-0.6003821078228695,1.1927999999999999,0.0027777777777777775
lgbm,index_hk,gap,index_threshold,gate_on,10.0,1.0,-1.33303359218413,-0.11836211856529612,-0.942962659901107,1.7040000000000002,0.0027777777777777775
lgbm,index_hk,gap,index_threshold,gate_on,14.0,1.0,-2.517940543868128,-0.2309937251226732,-1.4365230005262495,2.3855999999999997,0.0027777777777777775
