market,target,dropped_group,mean_ic,dir_acc,gross_sharpe,net_sharpe,delta_ic_vs_baseline,delta_gross_sharpe_vs_baseline,delta_net_sharpe_vs_baseline,meets_criterion_3
HK,gap,crypto,0.039712,0.5495,1.9373,-9.3632,-0.021017,-1.1005,-7.7975,FLAG_LARGE_DROP
HK,gap,macro,0.058799,0.6093,3.1525,-8.5514,-0.00193,0.1146,-6.9857,
HK,gap,stock_level,,0.6054,0.5381,-10.8136,,-2.4998,-9.2479,FLAG_LARGE_DROP
HK,intraday,crypto,0.023136,0.5074,0.6707,-5.3982,0.003672,0.3188,-2.4061,
HK,intraday,macro,0.025484,0.519,0.8921,-4.9315,0.006021,0.5402,-1.9394,
HK,intraday,stock_level,,0.5044,0.6558,-5.6599,,0.3039,-2.6678,
HK,cc,crypto,0.005679,0.5123,0.6895,-4.5957,-0.008181,-0.2889,-3.3485,FLAG_LARGE_DROP
HK,cc,macro,0.024443,0.5504,1.183,-4.2038,0.010583,0.2046,-2.9566,
HK,cc,stock_level,,0.5471,0.8397,-4.7122,,-0.1387,-3.465,
KR,gap,crypto,0.027396,0.5386,1.9846,-5.586,-0.033627,-1.7834,-5.304,FLAG_LARGE_DROP
KR,gap,macro,0.065926,0.6193,3.7172,-4.1343,0.004904,-0.0508,-3.8523,
KR,gap,stock_level,,0.6149,0.7407,-9.5203,,-3.0273,-9.2383,FLAG_LARGE_DROP
KR,intraday,crypto,0.025581,0.507,0.9713,-3.5325,0.002326,-0.0301,-2.0766,
KR,intraday,macro,0.022699,0.518,0.6773,-3.7111,-0.000556,-0.3241,-2.2552,FLAG_LARGE_DROP
KR,intraday,stock_level,,0.5118,-0.4311,-5.8524,,-1.4325,-4.3965,FLAG_LARGE_DROP
KR,cc,crypto,0.009376,0.4869,0.3292,-3.874,0.004397,-0.2605,-2.2971,FLAG_LARGE_DROP
KR,cc,macro,0.007769,0.5474,0.9487,-2.985,0.002789,0.3589,-1.408,
KR,cc,stock_level,,0.5512,-0.0354,-4.8655,,-0.6252,-3.2885,FLAG_LARGE_DROP
