feature_name,market,target,delta_gross_sharpe,delta_net_sharpe,delta_ic,ablated_gross_sharpe,ablated_net_sharpe,ablated_mean_ic
btc_ov_log_return,HK,gap,-0.579368,-0.634808,-0.00735008,2.458477,-2.2005,0.05364392
eth_ov_log_return,HK,gap,-0.727997,-0.743465,-0.00356803,2.309848,-2.309157,0.05742597
btc_ov_realized_vol,HK,gap,-0.481053,-0.672216,-0.00151275,2.556792,-2.237908,0.05948125
eth_ov_realized_vol,HK,gap,-0.093364,-0.235202,0.00739372,2.944481,-1.800894,0.06838772
btc_ov_max_drawdown,HK,gap,-0.333582,-0.457519,-0.00040515,2.704263,-2.023211,0.06058885
btc_ov_volume_usd,HK,gap,-0.261247,-0.402092,0.00088918,2.776598,-1.967784,0.06188318
btc_ov_volume_surge,HK,gap,-0.060898,-0.457321,0.00369073,2.976947,-2.023013,0.06468473
btc_ov_taker_imbalance,HK,gap,-0.156225,-0.419776,-0.00096367,2.88162,-1.985468,0.06003033
crosspair_dispersion,HK,gap,-0.368143,-0.525572,0.00018951,2.669702,-2.091264,0.06118351
btc_eth_spread,HK,gap,0.164168,0.118214,0.00180721,3.202013,-1.447478,0.06280121
btc_funding_rate_latest,HK,gap,0.096293,-0.048299,0.00074161,3.134138,-1.613991,0.06173561
btc_funding_rate_delta,HK,gap,-0.347216,-0.382355,-0.00160989,2.690629,-1.948047,0.05938411
vix_level,HK,gap,-0.247394,-0.532838,-0.00057631,2.790451,-2.09853,0.06041769
dxy_level,HK,gap,-0.460225,-0.624973,-0.0020669,2.57762,-2.190665,0.0589271
yield_curve_slope,HK,gap,-0.206605,-0.364141,0.00483678,2.83124,-1.929833,0.06583078
vix_5d_change,HK,gap,-0.236617,-0.451932,0.00598887,2.801228,-2.017624,0.06698287
dxy_5d_change,HK,gap,-0.29289,-0.416856,-0.00208438,2.744955,-1.982548,0.05890962
breakeven_5y,HK,gap,-0.463366,-0.66567,-0.0034648,2.574479,-2.231362,0.0575292
stock_rv_20d,HK,gap,-2.071819,-0.924215,-0.02604381,0.966026,-2.489907,0.03495019
stock_ret_20d,HK,gap,-0.158201,-0.005166,0.00511688,2.879644,-1.570858,0.06611088
stock_prior_day_return,HK,gap,-0.252671,0.026553,0.00946806,2.785174,-1.539139,0.07046206
btc_ov_log_return,KR,gap,-0.265267,0.102706,-0.00078511,3.502775,-0.179225,0.06003489
eth_ov_log_return,KR,gap,-0.551558,-0.492499,-0.01146161,3.216484,-0.77443,0.04935839
btc_ov_realized_vol,KR,gap,-0.391091,-0.146921,0.00104242,3.376951,-0.428852,0.06186242
eth_ov_realized_vol,KR,gap,-0.484215,-0.277954,-0.00212184,3.283827,-0.559885,0.05869816
btc_ov_max_drawdown,KR,gap,-0.361756,-0.109275,-0.00254134,3.406286,-0.391206,0.05827866
btc_ov_volume_usd,KR,gap,-0.415515,-0.00668,-0.00438616,3.352527,-0.288611,0.05643384
btc_ov_volume_surge,KR,gap,-0.308086,-0.02815,0.00195359,3.459956,-0.310081,0.06277359
btc_ov_taker_imbalance,KR,gap,-0.40234,-0.136289,-0.00167651,3.365702,-0.41822,0.05914349
crosspair_dispersion,KR,gap,-0.240904,-0.085459,0.00124584,3.527138,-0.36739,0.06206584
btc_eth_spread,KR,gap,-0.301554,-0.092331,-0.00407851,3.466488,-0.374262,0.05674149
btc_funding_rate_latest,KR,gap,-0.338704,-0.001989,-0.00347771,3.429338,-0.28392,0.05734229
btc_funding_rate_delta,KR,gap,-0.182403,0.024221,-0.00039514,3.585639,-0.25771,0.06042486
vix_level,KR,gap,-0.235824,0.144977,0.00324621,3.532218,-0.136954,0.06406621
dxy_level,KR,gap,0.046165,0.256099,0.00308193,3.814207,-0.025832,0.06390193
yield_curve_slope,KR,gap,-0.05474,0.065642,0.00203086,3.713302,-0.216289,0.06285086
vix_5d_change,KR,gap,-0.332919,-0.14628,-0.00477583,3.435123,-0.428211,0.05604417
dxy_5d_change,KR,gap,-0.224317,-0.026647,0.00170668,3.543725,-0.308578,0.06252668
breakeven_5y,KR,gap,-0.45721,-0.225645,-0.00620163,3.310832,-0.507576,0.05461837
stock_rv_20d,KR,gap,-2.319622,-2.378273,-0.04753059,1.44842,-2.660204,0.01328941
stock_ret_20d,KR,gap,-0.26624,-0.000398,0.00281615,3.501802,-0.282329,0.06363615
stock_prior_day_return,KR,gap,-0.841914,0.105016,-0.00151009,2.926128,-0.176915,0.05930991
