universe,target,model,oos_mean_ic,directional_accuracy,gross_sharpe,net_sharpe_1x1x,rolling_3mo_ic_mean,rolling_3mo_ic_std
main_hk,gap,LGBM,0.060994,0.5101,1.7514,-1.9422,0.060877,0.034653
main_hk,intraday,LGBM,0.019431,0.496,-1.0789,-3.1911,0.017629,0.028457
main_hk,cc,LGBM,0.014367,0.5326,0.0578,-1.4202,0.014103,0.031278
main_kr,gap,LGBM,0.06082,0.5416,1.4235,-0.5982,0.060447,0.038252
main_kr,intraday,LGBM,0.028296,0.4884,-0.6488,-1.6416,0.028622,0.035468
main_kr,cc,LGBM,0.007631,0.5301,0.3157,-1.7432,0.007192,0.035783
control_hk,gap,LGBM,0.05137,0.4621,2.6464,-0.9548,0.051286,0.037295
control_hk,intraday,LGBM,0.010697,0.4984,-1.5547,-1.4709,0.010433,0.031423
control_hk,cc,LGBM,-0.000591,0.4978,-0.0711,-0.9527,0.001402,0.027477
control_kr,gap,LGBM,0.037083,0.551,1.9665,0.5767,0.035733,0.03119
control_kr,intraday,LGBM,0.041935,0.49,-1.1046,0.4526,0.041731,0.030092
control_kr,cc,LGBM,0.018623,0.4964,0.385,-0.6278,0.018195,0.035783
index_hk,gap,LGBM,0.184798,0.5698,0.623,2.3759,0.177233,0.179935
index_hk,intraday,LGBM,-0.012885,0.5207,-0.5363,-0.0045,-0.019899,0.125371
index_hk,cc,LGBM,0.050421,0.5049,0.0021,0.829,0.045772,0.121961
index_kr,gap,LGBM,0.277342,0.6347,1.7996,3.7412,0.281698,0.169431
index_kr,intraday,LGBM,0.010383,0.5099,-0.5059,-0.6304,0.008543,0.113429
index_kr,cc,LGBM,0.129341,0.571,0.7649,1.1593,0.11771,0.17521
main_hk,gap,TCN,0.033536,0.4635,1.7514,-3.7297,0.036318,0.038839
main_hk,intraday,TCN,0.023608,0.4908,-1.0789,-2.4591,0.021215,0.034122
main_hk,cc,TCN,0.010267,0.5017,0.0578,-2.3975,0.008553,0.032214
main_kr,gap,TCN,0.031982,0.4805,1.4235,-2.1586,0.032809,0.036615
main_kr,intraday,TCN,0.030247,0.501,-0.6488,-1.372,0.030249,0.03115
main_kr,cc,TCN,0.001103,0.4935,0.3157,-1.712,0.000315,0.040061
index_hk,gap,TCN,0.042985,0.5102,0.623,-0.0637,0.041359,0.092341
index_hk,intraday,TCN,-0.026361,0.5082,-0.5363,0.064,-0.032496,0.08499
index_hk,cc,TCN,0.049251,0.5023,0.0021,0.2291,0.046572,0.100043
index_kr,gap,TCN,0.069206,0.5453,1.7996,-0.6875,0.071707,0.13911
index_kr,intraday,TCN,0.042297,0.5151,-0.5059,-0.2505,0.042529,0.136169
index_kr,cc,TCN,0.055967,0.5105,0.7649,-0.5024,0.057148,0.136477
main_hk,gap,ENSEMBLE,0.040976,0.4962,1.7514,,0.044004,0.038005
main_hk,intraday,ENSEMBLE,0.023581,0.4976,-1.0789,,0.020387,0.034922
main_hk,cc,ENSEMBLE,0.014969,0.5182,0.0578,,0.013569,0.036709
main_kr,gap,ENSEMBLE,0.043576,0.5212,1.4235,,0.044176,0.035339
main_kr,intraday,ENSEMBLE,0.037911,0.5046,-0.6488,,0.037735,0.029565
main_kr,cc,ENSEMBLE,0.002901,0.5183,0.3157,,0.002103,0.036944
index_hk,gap,ENSEMBLE,0.177671,0.5626,0.623,,0.169572,0.166369
index_hk,intraday,ENSEMBLE,-0.013315,0.5075,-0.5363,,-0.021966,0.132308
index_hk,cc,ENSEMBLE,0.073253,0.5187,0.0021,,0.069498,0.116026
index_kr,gap,ENSEMBLE,0.26023,0.6209,1.7996,,0.263102,0.181311
index_kr,intraday,ENSEMBLE,0.043838,0.5085,-0.5059,,0.043593,0.104524
index_kr,cc,ENSEMBLE,0.133227,0.5565,0.7649,,0.125506,0.160217
