market,target,regime_type,regime_bucket,n_days,mean_ic,gross_sharpe
HK,gap,vix,high_vix,338,0.06765,1.9151
HK,gap,vix,low_vix,1186,0.05981,3.4406
HK,gap,btc_trend,btc_down,691,0.056047,2.718
HK,gap,btc_trend,btc_up,833,0.065433,3.3062
HK,gap,crypto_vol,high_cvol,552,0.062692,3.2046
HK,gap,crypto_vol,low_cvol,972,0.0601,2.9399
HK,intraday,vix,high_vix,338,0.005013,-0.4571
HK,intraday,vix,low_vix,1186,0.02354,0.5843
HK,intraday,btc_trend,btc_down,691,0.027901,0.6713
HK,intraday,btc_trend,btc_up,833,0.012405,0.1066
HK,intraday,crypto_vol,high_cvol,552,0.026639,1.1821
HK,intraday,crypto_vol,low_cvol,972,0.015338,-0.1238
HK,cc,vix,high_vix,338,-0.000166,0.7624
HK,cc,vix,low_vix,1186,0.018615,1.0526
HK,cc,btc_trend,btc_down,691,0.015933,1.656
HK,cc,btc_trend,btc_up,833,0.013104,0.4058
HK,cc,crypto_vol,high_cvol,552,0.020954,0.8799
HK,cc,crypto_vol,low_cvol,972,0.010732,1.0481
KR,gap,vix,high_vix,341,0.075855,4.3606
KR,gap,vix,low_vix,1182,0.056473,3.5977
KR,gap,btc_trend,btc_down,686,0.067216,3.3262
KR,gap,btc_trend,btc_up,837,0.055604,4.1482
KR,gap,crypto_vol,high_cvol,553,0.061601,3.3645
KR,gap,crypto_vol,low_cvol,970,0.060374,4.007
KR,intraday,vix,high_vix,341,0.021025,0.5562
KR,intraday,vix,low_vix,1182,0.02981,1.1257
KR,intraday,btc_trend,btc_down,686,0.032033,1.3183
KR,intraday,btc_trend,btc_up,837,0.025048,0.7473
KR,intraday,crypto_vol,high_cvol,553,0.017193,0.0173
KR,intraday,crypto_vol,low_cvol,970,0.034732,1.5769
KR,cc,vix,high_vix,341,0.02138,1.2542
KR,cc,vix,low_vix,1182,0.003331,0.3789
KR,cc,btc_trend,btc_down,686,0.018447,0.4518
KR,cc,btc_trend,btc_up,837,-0.000876,0.7049
KR,cc,crypto_vol,high_cvol,553,0.004535,0.0628
KR,cc,crypto_vol,low_cvol,970,0.00927,0.9083
