universe,target,regime_type,mean_ic,gross_sharpe,n_days
main_hk,gap,VIX_high,0.08442,2.3968,339
main_hk,gap,VIX_low,0.056723,3.2666,1185
main_hk,gap,BTC_up_trend,0.066659,3.2073,860
main_hk,gap,BTC_down_trend,0.05456,2.828,664
main_hk,gap,crypto_vol_high,0.057712,2.798,734
main_hk,gap,crypto_vol_low,0.063902,3.3472,790
main_hk,intraday,VIX_high,0.00618,-0.5889,339
main_hk,intraday,VIX_low,0.023222,0.6124,1185
main_hk,intraday,BTC_up_trend,0.018696,0.283,860
main_hk,intraday,BTC_down_trend,0.020384,0.4503,664
main_hk,intraday,crypto_vol_high,0.018598,0.8225,734
main_hk,intraday,crypto_vol_low,0.020206,-0.0883,790
main_hk,cc,VIX_high,-0.003051,0.6505,339
main_hk,cc,VIX_low,0.019522,1.0849,1185
main_hk,cc,BTC_up_trend,0.019533,1.0801,860
main_hk,cc,BTC_down_trend,0.007474,0.8486,664
main_hk,cc,crypto_vol_high,0.012897,0.9608,734
main_hk,cc,crypto_vol_low,0.015682,1.0003,790
main_kr,gap,VIX_high,0.078533,4.7479,326
main_kr,gap,VIX_low,0.053978,3.434,1139
main_kr,gap,BTC_up_trend,0.049399,3.7096,827
main_kr,gap,BTC_down_trend,0.072591,3.7682,638
main_kr,gap,crypto_vol_high,0.070183,3.5629,707
main_kr,gap,crypto_vol_low,0.049436,3.8589,758
main_kr,intraday,VIX_high,0.031303,0.9269,326
main_kr,intraday,VIX_low,0.027449,1.0276,1139
main_kr,intraday,BTC_up_trend,0.024052,0.1873,827
main_kr,intraday,BTC_down_trend,0.033081,2.207,638
main_kr,intraday,crypto_vol_high,0.015998,0.1458,707
main_kr,intraday,crypto_vol_low,0.038682,1.8497,758
main_kr,cc,VIX_high,0.01948,0.7357,326
main_kr,cc,VIX_low,0.00389,0.4115,1139
main_kr,cc,BTC_up_trend,0.001299,0.2796,827
main_kr,cc,BTC_down_trend,0.015845,0.7462,638
main_kr,cc,crypto_vol_high,0.01382,0.3322,707
main_kr,cc,crypto_vol_low,0.002096,0.6557,758
index_hk,gap,VIX_high,0.264332,3.2308,339
index_hk,gap,VIX_low,0.161634,2.7542,1185
index_hk,gap,BTC_up_trend,0.121106,1.7704,860
index_hk,gap,BTC_down_trend,0.266008,3.6561,664
index_hk,gap,crypto_vol_high,0.222179,2.923,734
index_hk,gap,crypto_vol_low,0.149309,2.5842,790
index_hk,intraday,VIX_high,0.034973,1.1854,339
index_hk,intraday,VIX_low,-0.026788,0.0971,1185
index_hk,intraday,BTC_up_trend,-0.019927,0.0722,860
index_hk,intraday,BTC_down_trend,-0.00405,0.768,664
index_hk,intraday,crypto_vol_high,0.017373,1.0883,734
index_hk,intraday,crypto_vol_low,-0.041484,-0.2628,790
index_hk,cc,VIX_high,0.16355,2.78,339
index_hk,cc,VIX_low,0.017539,0.4007,1185
index_hk,cc,BTC_up_trend,0.015148,-0.1665,860
index_hk,cc,BTC_down_trend,0.095148,2.2592,664
index_hk,cc,crypto_vol_high,0.063488,1.6153,734
index_hk,cc,crypto_vol_low,0.037732,0.5715,790
index_kr,gap,VIX_high,0.333855,4.9665,326
index_kr,gap,VIX_low,0.259411,4.1172,1138
index_kr,gap,BTC_up_trend,0.236671,3.3858,827
index_kr,gap,BTC_down_trend,0.32671,5.1902,637
index_kr,gap,crypto_vol_high,0.277699,3.973,706
index_kr,gap,crypto_vol_low,0.274574,4.4744,758
index_kr,intraday,VIX_high,-0.043291,-0.813,326
index_kr,intraday,VIX_low,0.026446,-0.0611,1138
index_kr,intraday,BTC_up_trend,0.010971,0.1277,827
index_kr,intraday,BTC_down_trend,0.010628,-0.5436,637
index_kr,intraday,crypto_vol_high,-0.013385,-0.8591,706
index_kr,intraday,crypto_vol_low,0.033637,0.5452,758
index_kr,cc,VIX_high,0.191511,1.8357,326
index_kr,cc,VIX_low,0.109812,1.4587,1138
index_kr,cc,BTC_up_trend,0.078816,0.767,827
index_kr,cc,BTC_down_trend,0.191428,2.1403,637
index_kr,cc,crypto_vol_high,0.112478,1.1962,706
index_kr,cc,crypto_vol_low,0.142859,2.0623,758
