market,target,feature,mean_abs_shap_overall,overall_rank,pct_folds_in_top10
HK,gap,eth_ov_log_return,0.00129246,1,96.0
HK,gap,btc_ov_log_return,0.00087453,2,97.3
HK,gap,vix_level,0.00071582,3,97.3
HK,gap,dxy_5d_change,0.00042243,4,88.0
HK,gap,btc_ov_volume_surge,0.00035311,5,73.3
HK,gap,btc_eth_spread,0.00032007,6,41.3
HK,gap,btc_ov_max_drawdown,0.00031847,7,62.7
HK,gap,btc_funding_rate_latest,0.00028826,8,54.7
HK,gap,breakeven_5y,0.00028165,9,46.7
HK,gap,yield_curve_slope,0.00026643,10,36.0
HK,gap,crosspair_dispersion,0.0002607,11,25.3
HK,gap,btc_ov_volume_usd,0.00025243,12,40.0
HK,gap,btc_funding_rate_delta,0.00024651,13,42.7
HK,gap,stock_rv_20d,0.00024372,14,50.7
HK,gap,btc_ov_realized_vol,0.0002326,15,32.0
HK,gap,vix_5d_change,0.00020598,16,29.3
HK,gap,btc_ov_taker_imbalance,0.00020104,17,20.0
HK,gap,dxy_level,0.00018727,18,26.7
HK,gap,eth_ov_realized_vol,0.00015547,19,6.7
HK,gap,stock_prior_day_return,0.00011796,20,21.3
HK,gap,stock_ret_20d,0.00011131,21,12.0
HK,intraday,yield_curve_slope,0.00165694,1,34.7
HK,intraday,dxy_level,0.00149807,2,53.3
HK,intraday,btc_ov_realized_vol,0.00125434,3,76.0
HK,intraday,btc_funding_rate_delta,0.00120778,4,62.7
HK,intraday,eth_ov_realized_vol,0.00113768,5,56.0
HK,intraday,dxy_5d_change,0.00109312,6,72.0
HK,intraday,vix_5d_change,0.00105433,7,64.0
HK,intraday,btc_ov_max_drawdown,0.00105057,8,70.7
HK,intraday,btc_ov_taker_imbalance,0.00102293,9,56.0
HK,intraday,breakeven_5y,0.00094113,10,56.0
HK,intraday,crosspair_dispersion,0.00094002,11,58.7
HK,intraday,stock_prior_day_return,0.00092497,12,57.3
HK,intraday,btc_ov_volume_surge,0.00088052,13,42.7
HK,intraday,btc_ov_log_return,0.00084239,14,56.0
HK,intraday,stock_rv_20d,0.00074948,15,29.3
HK,intraday,btc_eth_spread,0.00068654,16,25.3
HK,intraday,btc_ov_volume_usd,0.00068335,17,25.3
HK,intraday,vix_level,0.00066538,18,30.7
HK,intraday,btc_funding_rate_latest,0.00066498,19,24.0
HK,intraday,eth_ov_log_return,0.00065739,20,25.3
HK,intraday,stock_ret_20d,0.0006393,21,24.0
HK,cc,btc_ov_log_return,0.00194929,1,96.0
HK,cc,dxy_level,0.00113282,2,56.0
HK,cc,eth_ov_log_return,0.00108776,3,77.3
HK,cc,yield_curve_slope,0.00103479,4,38.7
HK,cc,dxy_5d_change,0.00096083,5,88.0
HK,cc,btc_ov_max_drawdown,0.00091238,6,70.7
HK,cc,vix_level,0.00088563,7,73.3
HK,cc,btc_ov_taker_imbalance,0.00084736,8,64.0
HK,cc,btc_funding_rate_delta,0.00081502,9,62.7
HK,cc,btc_funding_rate_latest,0.00076718,10,50.7
HK,cc,breakeven_5y,0.00072601,11,42.7
HK,cc,btc_ov_realized_vol,0.00072564,12,56.0
HK,cc,btc_eth_spread,0.00064037,13,41.3
HK,cc,vix_5d_change,0.00057262,14,34.7
HK,cc,crosspair_dispersion,0.00055717,15,52.0
HK,cc,eth_ov_realized_vol,0.00051984,16,29.3
HK,cc,btc_ov_volume_usd,0.00048458,17,25.3
HK,cc,btc_ov_volume_surge,0.00042795,18,22.7
HK,cc,stock_prior_day_return,0.0002485,19,5.3
HK,cc,stock_rv_20d,0.00020534,20,8.0
HK,cc,stock_ret_20d,0.00019309,21,5.3
KR,gap,eth_ov_log_return,0.00132486,1,97.3
KR,gap,btc_ov_log_return,0.00065903,2,86.7
KR,gap,vix_level,0.00046621,3,96.0
KR,gap,yield_curve_slope,0.00038955,4,70.7
KR,gap,btc_eth_spread,0.00033212,5,82.7
KR,gap,vix_5d_change,0.00026952,6,46.7
KR,gap,stock_rv_20d,0.0002521,7,85.3
KR,gap,btc_funding_rate_latest,0.00022774,8,65.3
KR,gap,dxy_level,0.00020184,9,36.0
KR,gap,btc_ov_realized_vol,0.00018801,10,34.7
KR,gap,btc_ov_volume_usd,0.00017385,11,29.3
KR,gap,breakeven_5y,0.00016542,12,42.7
KR,gap,btc_ov_volume_surge,0.00016155,13,28.0
KR,gap,stock_prior_day_return,0.00016007,14,48.0
KR,gap,btc_ov_taker_imbalance,0.00015015,15,37.3
KR,gap,btc_ov_max_drawdown,0.00014654,16,40.0
KR,gap,btc_funding_rate_delta,0.00012268,17,20.0
KR,gap,dxy_5d_change,0.00011885,18,20.0
KR,gap,crosspair_dispersion,0.00011153,19,17.3
KR,gap,eth_ov_realized_vol,0.00010303,20,14.7
KR,gap,stock_ret_20d,2.881e-05,21,1.3
KR,intraday,vix_5d_change,0.00083774,1,96.0
KR,intraday,btc_eth_spread,0.00073714,2,89.3
KR,intraday,btc_ov_taker_imbalance,0.00066718,3,69.3
KR,intraday,crosspair_dispersion,0.00062037,4,90.7
KR,intraday,eth_ov_realized_vol,0.00052767,5,65.3
KR,intraday,dxy_5d_change,0.00052256,6,70.7
KR,intraday,btc_ov_log_return,0.00051248,7,64.0
KR,intraday,dxy_level,0.00045051,8,42.7
KR,intraday,stock_prior_day_return,0.00044156,9,53.3
KR,intraday,eth_ov_log_return,0.00042618,10,49.3
KR,intraday,vix_level,0.00041179,11,49.3
KR,intraday,btc_ov_volume_usd,0.00040893,12,38.7
KR,intraday,btc_funding_rate_delta,0.0003831,13,38.7
KR,intraday,stock_rv_20d,0.0003557,14,24.0
KR,intraday,btc_ov_max_drawdown,0.00035019,15,29.3
KR,intraday,btc_ov_volume_surge,0.00032229,16,13.3
KR,intraday,btc_funding_rate_latest,0.00032219,17,33.3
KR,intraday,breakeven_5y,0.0003092,18,34.7
KR,intraday,yield_curve_slope,0.00029108,19,30.7
KR,intraday,btc_ov_realized_vol,0.0002884,20,12.0
KR,intraday,stock_ret_20d,0.00022001,21,5.3
KR,cc,eth_ov_log_return,0.00132953,1,85.3
KR,cc,btc_eth_spread,0.00106468,2,98.7
KR,cc,btc_ov_log_return,0.0009,3,96.0
KR,cc,vix_level,0.00074322,4,97.3
KR,cc,dxy_level,0.000666,5,64.0
KR,cc,btc_ov_taker_imbalance,0.00061522,6,65.3
KR,cc,vix_5d_change,0.00059485,7,80.0
KR,cc,crosspair_dispersion,0.00048249,8,65.3
KR,cc,btc_ov_max_drawdown,0.0003599,9,41.3
KR,cc,eth_ov_realized_vol,0.00035447,10,45.3
KR,cc,btc_funding_rate_delta,0.00035211,11,57.3
KR,cc,btc_funding_rate_latest,0.00033639,12,42.7
KR,cc,btc_ov_volume_surge,0.00030025,13,38.7
KR,cc,yield_curve_slope,0.00028463,14,34.7
KR,cc,btc_ov_volume_usd,0.00025439,15,14.7
KR,cc,dxy_5d_change,0.00025081,16,22.7
KR,cc,breakeven_5y,0.00024818,17,16.0
KR,cc,btc_ov_realized_vol,0.00022998,18,17.3
KR,cc,stock_rv_20d,0.00021227,19,12.0
KR,cc,stock_ret_20d,0.00014468,20,4.0
KR,cc,stock_prior_day_return,0.00013147,21,1.3
